ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,78569,0,0,1,Fixation,150,1294,330,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,78802,0,0,2,Fixation,292,1247,456,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,79152,0,0,3,Fixation,142,948,515,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,79369,0,0,4,Fixation,142,738,668,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,79519,0,0,5,Fixation,75,761,664,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,79694,0,0,6,Fixation,225,982,467,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,80319,0,0,7,Fixation,325,1363,749,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,80777,0,0,8,Fixation,117,1181,835,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,81002,0,0,9,Fixation,167,791,413,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,81177,0,0,10,Fixation,175,774,424,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,81360,0,0,11,Fixation,92,790,456,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,81594,0,0,12,Fixation,142,955,451,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,81785,0,0,13,Fixation,342,772,610,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,82194,0,0,14,Fixation,192,1179,593,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,82460,0,0,15,Fixation,100,980,494,
2018/05/19,hara,task3_hara,2018/05/17,I-VT filter,425217,Segment 24,78302,82638,4336,82635,0,0,16,Fixation,175,969,478,
