ExportDate,ParticipantName,RecordingName,RecordingDate,RecordingDuration,FixationFilter,MediaPosX (ADCSpx),MediaPosY (ADCSpx),SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,ide,task1_ide,2018/05/14,624642,I-VT filter,0,0,Segment 91,436792,440936,4144,437144,1,Fixation,142,1047,306,
2018/05/19,ide,task1_ide,2018/05/14,624642,I-VT filter,0,0,Segment 91,436792,440936,4144,437360,2,Fixation,100,1057,314,
2018/05/19,ide,task1_ide,2018/05/14,624642,I-VT filter,0,0,Segment 91,436792,440936,4144,437510,3,Fixation,208,1095,314,
2018/05/19,ide,task1_ide,2018/05/14,624642,I-VT filter,0,0,Segment 91,436792,440936,4144,437819,4,Fixation,317,1125,406,
2018/05/19,ide,task1_ide,2018/05/14,624642,I-VT filter,0,0,Segment 91,436792,440936,4144,438194,5,Fixation,258,1121,604,
2018/05/19,ide,task1_ide,2018/05/14,624642,I-VT filter,0,0,Segment 91,436792,440936,4144,438485,6,Fixation,517,1178,627,
2018/05/19,ide,task1_ide,2018/05/14,624642,I-VT filter,0,0,Segment 91,436792,440936,4144,439035,7,Fixation,208,1252,653,
2018/05/19,ide,task1_ide,2018/05/14,624642,I-VT filter,0,0,Segment 91,436792,440936,4144,439468,8,Fixation,100,309,584,
2018/05/19,ide,task1_ide,2018/05/14,624642,I-VT filter,0,0,Segment 91,436792,440936,4144,439602,9,Fixation,92,302,534,
2018/05/19,ide,task1_ide,2018/05/14,624642,I-VT filter,0,0,Segment 91,436792,440936,4144,439743,10,Fixation,158,258,487,
2018/05/19,ide,task1_ide,2018/05/14,624642,I-VT filter,0,0,Segment 91,436792,440936,4144,439927,11,Fixation,467,295,494,
