ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,kawaguchi,task3_kawaguchi,2018/05/14,I-VT filter,385426,Segment 120,357498,361098,3600,357547,0,0,1,Fixation,150,783,691,
2018/05/19,kawaguchi,task3_kawaguchi,2018/05/14,I-VT filter,385426,Segment 120,357498,361098,3600,357789,0,0,2,Fixation,83,725,692,
2018/05/19,kawaguchi,task3_kawaguchi,2018/05/14,I-VT filter,385426,Segment 120,357498,361098,3600,358930,0,0,3,Fixation,83,1218,608,
2018/05/19,kawaguchi,task3_kawaguchi,2018/05/14,I-VT filter,385426,Segment 120,357498,361098,3600,359030,0,0,4,Fixation,100,1219,580,
2018/05/19,kawaguchi,task3_kawaguchi,2018/05/14,I-VT filter,385426,Segment 120,357498,361098,3600,359172,0,0,5,Fixation,125,1213,621,
2018/05/19,kawaguchi,task3_kawaguchi,2018/05/14,I-VT filter,385426,Segment 120,357498,361098,3600,359455,0,0,6,Fixation,67,828,309,
2018/05/19,kawaguchi,task3_kawaguchi,2018/05/14,I-VT filter,385426,Segment 120,357498,361098,3600,359580,0,0,7,Fixation,83,828,316,
2018/05/19,kawaguchi,task3_kawaguchi,2018/05/14,I-VT filter,385426,Segment 120,357498,361098,3600,359755,0,0,8,Fixation,142,983,458,
2018/05/19,kawaguchi,task3_kawaguchi,2018/05/14,I-VT filter,385426,Segment 120,357498,361098,3600,359955,0,0,9,Fixation,308,815,292,
2018/05/19,kawaguchi,task3_kawaguchi,2018/05/14,I-VT filter,385426,Segment 120,357498,361098,3600,360405,0,0,10,Fixation,117,887,329,
2018/05/19,kawaguchi,task3_kawaguchi,2018/05/14,I-VT filter,385426,Segment 120,357498,361098,3600,360580,0,0,11,Fixation,217,1200,559,
2018/05/19,kawaguchi,task3_kawaguchi,2018/05/14,I-VT filter,385426,Segment 120,357498,361098,3600,360980,0,0,12,Fixation,125,1211,634,
