ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,139468,0,0,1,Fixation,133,878,314,
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,139659,0,0,2,Fixation,92,1136,699,
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,139984,0,0,3,Fixation,92,1079,540,
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,140251,0,0,4,Fixation,67,1178,575,
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,140851,0,0,5,Fixation,75,710,571,
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,140984,0,0,6,Fixation,92,594,326,
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,141468,0,0,7,Fixation,375,1177,588,
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,141917,0,0,8,Fixation,100,1578,819,
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,142142,0,0,9,Fixation,117,1493,783,
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,142426,0,0,10,Fixation,92,1167,597,
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,142676,0,0,11,Fixation,83,683,678,
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,143367,0,0,12,Fixation,167,1211,576,
2018/05/19,maeda,task2_maeda,2018/05/17,I-VT filter,428432,Segment 36,139410,143714,4304,143651,0,0,13,Fixation,325,1159,586,
