ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,486148,0,0,1,Fixation,67,969,380,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,486481,0,0,2,Fixation,83,615,389,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,486914,0,0,3,Fixation,92,1510,524,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,487014,0,0,4,Fixation,167,1501,558,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,487214,0,0,5,Fixation,183,1538,644,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,487748,0,0,6,Fixation,117,1032,493,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,487939,0,0,7,Fixation,208,937,290,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,488198,0,0,8,Fixation,150,675,312,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,488431,0,0,9,Fixation,250,1399,370,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,488714,0,0,10,Fixation,158,1455,321,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,488922,0,0,11,Fixation,167,1276,259,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,489139,0,0,12,Fixation,208,1534,400,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,489456,0,0,13,Fixation,300,1543,557,
2018/05/19,mizusaki,task4_mizusaki,2018/05/18,I-VT filter,763529,Segment 85,485999,490223,4224,489797,0,0,14,Fixation,442,1367,661,
