ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,295782,0,0,1,Fixation,133,979,621,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,296065,0,0,2,Fixation,217,933,546,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,296382,0,0,3,Fixation,208,1034,719,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,296898,0,0,4,Fixation,225,1062,851,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,297157,0,0,5,Fixation,200,1066,1000,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,297431,0,0,6,Fixation,142,1066,964,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,297581,0,0,7,Fixation,125,1083,949,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,297806,0,0,8,Fixation,183,928,727,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,298098,0,0,9,Fixation,142,981,672,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,298281,0,0,10,Fixation,192,1174,604,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,298598,0,0,11,Fixation,225,1247,491,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,298840,0,0,12,Fixation,408,1224,489,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,299273,0,0,13,Fixation,342,1219,427,
2018/05/19,sato,task4-2_sato,2018/05/18,I-VT filter,487761,Segment 50,295505,300017,4512,299748,0,0,14,Fixation,658,1229,447,
