ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,306337,0,0,1,Fixation,225,991,414,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,306604,0,0,2,Fixation,517,869,337,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,307179,0,0,3,Fixation,125,1141,577,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,307362,0,0,4,Fixation,325,1382,415,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,307712,0,0,5,Fixation,133,1437,400,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,307887,0,0,6,Fixation,333,1357,713,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,308262,0,0,7,Fixation,175,1194,697,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,308479,0,0,8,Fixation,442,1126,529,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,308962,0,0,9,Fixation,183,1353,448,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,309179,0,0,10,Fixation,117,1404,305,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,309312,0,0,11,Fixation,75,1397,329,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,309395,0,0,12,Fixation,208,1381,357,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,309662,0,0,13,Fixation,367,1607,748,
2018/05/19,seto,task4_seto,2018/05/14,I-VT filter,526738,Segment 79,306335,310303,3968,310070,0,0,14,Fixation,150,1684,855,
