ExportDate,ParticipantName,RecordingName,RecordingDate,RecordingDuration,FixationFilter,MediaPosX (ADCSpx),MediaPosY (ADCSpx),SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,369801,1,Fixation,167,1227,601,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,370076,2,Fixation,142,1533,780,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,370251,3,Fixation,142,1663,842,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,370601,4,Fixation,133,742,774,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,370800,5,Fixation,283,990,381,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,371142,6,Fixation,142,1348,297,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,371309,7,Fixation,158,1419,264,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,371525,8,Fixation,150,1586,233,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,371759,9,Fixation,100,1338,729,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,371934,10,Fixation,142,798,843,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,372100,11,Fixation,108,706,828,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,372300,12,Fixation,150,1628,837,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,372475,13,Fixation,200,1676,788,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,372734,14,Fixation,67,1231,693,
2018/05/19,takasugi,task2_takasugi,2018/05/19,434996,I-VT filter,0,0,Segment 111,369353,372921,3568,372909,15,Fixation,92,815,687,
