ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,54676,0,0,1,Fixation,258,902,225,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,55076,0,0,2,Fixation,133,974,269,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,55259,0,0,3,Fixation,158,716,296,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,55484,0,0,4,Fixation,192,733,489,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,55725,0,0,5,Fixation,117,854,555,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,55884,0,0,6,Fixation,150,755,664,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,56109,0,0,7,Fixation,200,834,509,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,56350,0,0,8,Fixation,133,893,389,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,56600,0,0,9,Fixation,83,1723,323,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,56925,0,0,10,Fixation,100,769,310,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,57225,0,0,11,Fixation,92,700,351,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,57400,0,0,12,Fixation,275,662,607,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,57734,0,0,13,Fixation,108,958,657,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,57984,0,0,14,Fixation,75,1119,508,
2018/05/19,toyama,task2_toyama,2018/05/18,I-VT filter,422571,Segment 15,54470,58214,3744,58117,0,0,15,Fixation,242,672,715,
