ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,165240,0,0,1,Fixation,175,881,528,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,165465,0,0,2,Fixation,400,1110,507,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,165915,0,0,3,Fixation,108,1162,759,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,166340,0,0,4,Fixation,225,1389,717,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,166573,0,0,5,Fixation,125,1360,701,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,166765,0,0,6,Fixation,200,1148,541,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,166998,0,0,7,Fixation,167,1218,740,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,167482,0,0,8,Fixation,183,836,264,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,167707,0,0,9,Fixation,208,714,262,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,168040,0,0,10,Fixation,92,1275,817,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,168165,0,0,11,Fixation,167,1385,693,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,168481,0,0,12,Fixation,242,743,270,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,168765,0,0,13,Fixation,208,892,294,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,169206,0,0,14,Fixation,150,1188,752,
2018/05/17,ueda,task2_ueda,2018/05/16,I-VT filter,371049,Segment 59,165119,169567,4448,169415,0,0,15,Fixation,150,1278,293,
