ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,5887,0,0,1,Fixation,167,957,461,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,5962,0,0,2,Fixation,158,803,361,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,6162,0,0,3,Fixation,150,674,312,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,6412,0,0,4,Fixation,75,262,261,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,6596,0,0,5,Fixation,225,1054,412,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,6862,0,0,6,Fixation,167,1262,412,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,7212,0,0,7,Fixation,292,1337,467,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,7554,0,0,8,Fixation,250,1260,602,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,7871,0,0,9,Fixation,67,1226,750,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,8021,0,0,10,Fixation,325,1048,670,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,8371,0,0,11,Fixation,133,1015,527,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,8562,0,0,12,Fixation,183,815,422,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,8812,0,0,13,Fixation,241,279,430,
2018/05/19,onda,task1-1_onda,2018/05/13,I-VT filter,234445,Segment 1,5886,9662,3776,9071,0,0,14,Fixation,500,321,498,
