ExportDate,ParticipantName,RecordingName,RecordingDate,FixationFilter,RecordingDuration,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,RecordingTimestamp,MediaPosX (ADCSpx),MediaPosY (ADCSpx),FixationIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,525684,0,0,1,Fixation,192,840,688,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,525984,0,0,2,Fixation,233,1025,521,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,526259,0,0,3,Fixation,442,1114,497,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,526734,0,0,4,Fixation,158,1218,454,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,527000,0,0,5,Fixation,133,1073,714,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,527209,0,0,6,Fixation,158,1133,587,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,527434,0,0,7,Fixation,350,1061,774,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,527842,0,0,8,Fixation,142,1004,611,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,528075,0,0,9,Fixation,300,1205,515,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,528433,0,0,10,Fixation,342,1253,405,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,528833,0,0,11,Fixation,567,1052,408,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,529442,0,0,12,Fixation,800,1146,465,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,530408,0,0,13,Fixation,233,1046,819,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,530717,0,0,14,Fixation,317,968,691,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,531117,0,0,15,Fixation,325,1158,662,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,531500,0,0,16,Fixation,100,1231,664,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,531691,0,0,17,Fixation,142,1409,447,
2018/05/19,yoshida,task4_yoshida,2018/05/13,I-VT filter,671843,Segment 100,525577,532121,6544,531875,0,0,18,Fixation,175,1252,378,
